Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Omeo District Health,9 Easton Street,,OMEO,VIC,3898,Gippsland,Residential,10,,,Omeo District Health,State Government,Outer Regional Australia,-37.0981436,147.5964817," $398,446 "
Cyril Jewell House,68 Hassett Crescent,,KEILOR EAST,VIC,3033,Western Metro,Residential,45,,,Melbourne Health,State Government,Major Cities of Australia,-37.7373254,144.8578199," $1,814,742 "
Boyne Russell House,184-186 Victoria Street,,BRUNSWICK,VIC,3056,Northern Metro,Residential,30,,,Melbourne Health,State Government,Major Cities of Australia,-37.767964,144.969508," $1,063,719 "
Creswick District Nursing Home,1 Napier Street,,CRESWICK,VIC,3363,Grampians,Residential,30,,,Hepburn Health Service,State Government,Inner Regional Australia,-37.42063685,143.8916749," $1,846,898 "
Beaufort Nursing Home,2 Havelock Street,,BEAUFORT,VIC,3373,Grampians,Residential,15,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,-37.42842713,143.3796598," $990,467 "
Merv Irvine Nursing Home,1231 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Residential,30,,,Melbourne Health,State Government,Major Cities of Australia,-37.70096938,145.0576404," $1,687,899 "
Estia Health Benalla,73 Samaria Road,,BENALLA,VIC,3673,Hume,Residential,60,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.5577,145.996076," $4,014,286 "
Regis Blackburn,40 Central Road,,BLACKBURN,VIC,3130,Eastern Metro,Residential,202,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.82393016,145.1599185," $12,565,790 "
Benetas St George's,13-19 Howard Street,,ALTONA MEADOWS,VIC,3028,Western Metro,Residential,154,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.87881045,144.7813232," $8,114,794 "
Monash Gardens,355 Wellington Road,,MULGRAVE,VIC,3170,Eastern Metro,Residential,47,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.91906083,145.1654792," $3,322,594 "
Hesse Rural Health Service Nursing Home,8 Gosney Street,,WINCHELSEA,VIC,3241,Barwon-South Western,Residential,25,,,Hesse Rural Health Service,State Government,Inner Regional Australia,-38.243425,143.9849397," $1,693,131 "
The Homestead Residential Aged Care,20 Homestead Avenue,,WALLINGTON,VIC,3222,Barwon-South Western,Residential,60,,,T L C Homes Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.22112476,144.5365686," $2,745,003 "
Mercy Place Montrose,991 Mount Dandenong Tourist Road,,MONTROSE,VIC,3765,Eastern Metro,Residential,124,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.81400589,145.3515414," $6,581,379 "
Whittlesea Lodge,30-32 Fir Street,,WHITTLESEA,VIC,3757,Northern Metro,Residential,70,,,Arcanola Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.50933476,145.1162029," $4,409,517 "
St John's Retirement Village Nursing Home,138 Williams Road,,WANGARATTA,VIC,3677,Hume,Residential,105,,,Respect Group Limited,Charitable,Inner Regional Australia,-36.34604148,146.2977312," $6,101,459 "
Estia Health Yarra Valley,21 Hoddle Street,,YARRA JUNCTION,VIC,3797,Eastern Metro,Residential,100,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.78485395,145.6119676," $6,075,210 "
Bupa Edithvale,256 -260 Station Street,,EDITHVALE,VIC,3196,Southern Metro,Residential,95,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.04313163,145.1119199," $5,806,250 "
Mooroolbark Aged Persons Mental Health Residential Care Facility,73A Cambridge Road,,MOOROOLBARK,VIC,3138,Eastern Metro,Residential,30,,,Eastern Health,State Government,Major Cities of Australia,-37.7926077,145.316936," $1,540,461 "
Riverside House,2 River Street,,RICHMOND,VIC,3121,Northern Metro,Residential,30,,,St Vincent's Hospital (Melbourne) Limited,Charitable,Major Cities of Australia,-37.8146661,145.0123478," $1,526,059 "
Auburn House,98 Camberwell Road,,HAWTHORN EAST,VIC,3123,Eastern Metro,Residential,30,,,St Vincent's Hospital (Melbourne) Limited,Charitable,Major Cities of Australia,-37.827452,145.051907," $1,093,736 "
Skipton Nursing Home,4 Blake Street,,SKIPTON,VIC,3361,Barwon-South Western,Residential,11,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,-37.68462815,143.3666776," $669,941 "
Brimlea Aged Care,21 Railway Parade,,MURRUMBEENA,VIC,3163,Southern Metro,Residential,90,,,Five Star Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8920687,145.0699853," $6,295,216 "
Illoura - Residential Aged Care,32-50 College Street,,WANGARATTA,VIC,3677,Hume,Residential,66,,,Northeast Health Wangaratta,State Government,Inner Regional Australia,-36.33807049,146.3098504," $4,260,697 "
Golden Oaks Nursing Home,15-39 Hattam Street,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,60,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.781461,144.256093," $2,939,083 "
Japara Goonawarra,19-25 Anderson Road,,SUNBURY,VIC,3429,Northern Metro,Residential,120,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.57695101,144.7195688," $7,685,358 "
Gregory Lodge,2-58 Newmarket Street,,FLEMINGTON,VIC,3031,Western Metro,Residential,73,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.78621024,144.9269375," $5,408,379 "
Regis Fawkner,101f Major Road,,FAWKNER,VIC,3060,Northern Metro,Residential,90,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.70704442,144.9634286," $4,390,620 "
Opal Bairnsdale,79 Harnham Drive,,BAIRNSDALE,VIC,3875,Gippsland,Residential,90,,,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,Outer Regional Australia,-37.8375667,147.5960276," $5,952,342 "
Country Club Lodge,111 Country Club Drive,,SAFETY BEACH,VIC,3936,Southern Metro,Residential,45,,,Buehler Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.328103,144.988119," $3,051,468 "
Andrina Aged Care,80 William Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,50,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.099033,145.183776," $3,307,714 "
Opal Paynesville,3-5 Fort King Road,,PAYNESVILLE,VIC,3880,Gippsland,Residential,100,,,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,Outer Regional Australia,-37.90661685,147.7212845," $5,698,768 "
BlueCross Darnlee,33 Lansell Road,,TOORAK,VIC,3142,Southern Metro,Residential,47,,,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.838166,145.016188," $3,044,185 "
Plumpton Villa Aged Care Facility,7 Lewis Street,,GLENROY,VIC,3046,Northern Metro,Residential,126,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.70894582,144.9211046," $7,475,328 "
Anzac Lodge Private Nursing Home,2-12 Anzac Avenue,,COBURG NORTH,VIC,3058,Northern Metro,Residential,121,,,Java Dale Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.72251655,144.9642427," $7,251,528 "
Fronditha Anesi Aged Care Services - Thornbury,335 Station Street,,THORNBURY,VIC,3071,Northern Metro,Residential,120,,,Fronditha Care,Community Based,Major Cities of Australia,-37.764523,145.020785," $9,048,918 "
Holmwood Aged Care Facility,17-19 Lalors Road,,HEALESVILLE,VIC,3777,Eastern Metro,Residential,84,,,Bonnie Bridge Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.661942,145.515986," $4,180,435 "
Mary Guthrie House Nursing Home,1 Yarra Boulevard,,KEW,VIC,3101,Eastern Metro,Residential,20,,,Austin Health,State Government,Major Cities of Australia,-37.78991843,145.0259057," $680,672 "
Clarinda Manor,21-25 Inverness Street,,CLARINDA,VIC,3169,Southern Metro,Residential,90,,,Clarinda Manor Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.93121151,145.1068729," $5,437,776 "
Swan Hill District (Nyah Campus),1 Monash Avenue,,NYAH WEST,VIC,3595,Loddon-Mallee,Residential,15,,,Swan Hill District Health,State Government,Outer Regional Australia,-35.18593164,143.3574405," $793,042 "
Ballan Nursing Home,33 Cowie Street,,BALLAN,VIC,3342,Grampians,Residential,21,,,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,Inner Regional Australia,-37.59918085,144.2226728," $1,332,373 "
Baptcare - St Hilary's Community,16 Elgin Street,,MORWELL,VIC,3840,Gippsland,Residential,51,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.23903099,146.391074," $4,022,882 "
BlueCross Riverlea,57 Intervale Drive,,AVONDALE HEIGHTS,VIC,3034,Western Metro,Residential,75,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75275,144.8539," $5,195,868 "
BlueCross Ashby,25 Ashford Street,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,78,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.76156736,145.1201401," $5,736,672 "
Opal South Valley,209 South Valley Road,,HIGHTON,VIC,3216,Barwon-South Western,Residential,99,,,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.1940843,144.3163111," $5,815,686 "
Bupa Caulfield,349-351a North Road,,CAULFIELD SOUTH,VIC,3162,Southern Metro,Residential,127,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90223408,145.028305," $7,682,052 "
Montclaire,18 Montclair Avenue,,BRIGHTON,VIC,3186,Southern Metro,Residential,40,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.902394,145.003978," $1,756,494 "
Japara Barongarook Gardens,8-32 Murray Street,,COLAC,VIC,3250,Barwon-South Western,Residential,60,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.33876767,143.5946171," $3,532,908 "
Japara Viewhills Manor,55 Heatherton Road,,ENDEAVOUR HILLS,VIC,3802,Southern Metro,Residential,120,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9752905,145.2761453," $10,071,226 "
St Vincent's Care Services Hawthorn,4 King Street,,HAWTHORN EAST,VIC,3123,Eastern Metro,Residential,91,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-37.83177077,145.0538478," $6,044,463 "
BlueCross Broughtonlea,9-17 Broughton Road,,SURREY HILLS,VIC,3127,Eastern Metro,Residential,104,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.827812,145.104246," $6,646,845 "
BlueCross Glengowrie,54 Box Forest Road,,GLENROY,VIC,3046,Northern Metro,Residential,90,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.70384033,144.9553432," $6,201,045 "
Bupa Bendigo,208 Holdsworth Road,,BENDIGO,VIC,3550,Loddon-Mallee,Residential,152,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.73439989,144.2811227," $9,493,624 "
Japara Elanora,7 Mair Street,,BRIGHTON,VIC,3186,Southern Metro,Residential,142,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.92954665,144.9919056," $9,355,947 "
Japara Kelaston,2-4 Park Street,,WENDOUREE,VIC,3355,Grampians,Residential,90,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.53596427,143.8257695," $6,147,657 "
Regis Cranbourne,18 Sherwood Road,,JUNCTION VILLAGE,VIC,3977,Southern Metro,Residential,149,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.13667448,145.2920234," $10,858,837 "
Myrtleford Lodge Aged Care,73 Prince Street,,MYRTLEFORD,VIC,3737,Hume,Residential,81,,,Bentley-Wood Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.55698173,146.7213697," $4,982,820 "
Olivet Aged Persons Home,7 Rupert Street,,RINGWOOD,VIC,3134,Eastern Metro,Residential,95,,,Christadelphian Welfare Association (Vic) Inc,Charitable,Major Cities of Australia,-37.8082798,145.239962," $6,146,322 "
Baptcare - Hedley Sutton Community,19 Canterbury Road,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,100,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.82171841,145.0626288," $7,192,925 "
Baptcare - Karana Community,55 Walpole Street,,KEW,VIC,3101,Eastern Metro,Residential,93,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.8017417,145.0312585," $6,408,703 "
BlueCross Silverwood,101-105 Porter Street,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,61,,,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.752514,145.136153," $4,110,024 "
Tabulam & Templer Home for the Aged,31-41 Elizabeth Street,,BAYSWATER,VIC,3153,Eastern Metro,Residential,118,,,Tabulam & Templer Homes for the Aged Inc,Community Based,Major Cities of Australia,-37.8552364,145.2625201," $7,913,039 "
Sutton Park Assisted Aged Care,126-134 Exford Road,,MELTON SOUTH,VIC,3338,Western Metro,Residential,113,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.71585236,144.5729397," $7,992,315 "
Lifeview The Willows,171-175 Jells Road,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,60,,,Farwell Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.907797,145.188659," $4,662,494 "
Baptcare - Strathalan Community,50 Braidhill Road,,MACLEOD,VIC,3085,Northern Metro,Residential,124,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.728109,145.076809," $9,418,867 "
Glengollan Village,97 Underwood Road,,FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,90,,,Glengollan Village,Community Based,Major Cities of Australia,-37.874463,145.294564," $6,104,348 "
Uniting AgeWell Strathdon Community,17 Jolimont Road,,FOREST HILL,VIC,3131,Eastern Metro,Residential,168,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.84291666,145.172682," $12,922,919 "
Lifeview Emerald Glades,15 Emerald-Monbulk Road,,EMERALD,VIC,3782,Southern Metro,Residential,60,,,Farwell Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.925897,145.442624," $4,827,726 "
Costa House,1 Investigator Avenue,,LARA,VIC,3212,Barwon-South Western,Residential,120,,,Karingal St Laurence Limited,Charitable,Major Cities of Australia,-38.0265043,144.4034817," $5,564,258 "
Bupa Barrabool,55 Barrabool Road,,BELMONT,VIC,3216,Barwon-South Western,Residential,60,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.1660727,144.3367079," $3,753,389 "
Beechworth Health Service Residential Care Program,52 Sydney Road,,BEECHWORTH,VIC,3747,Hume,Residential,60,,,Beechworth Health Service,State Government,Inner Regional Australia,-36.3500662,146.690617," $3,644,670 "
Lexington Gardens,18 Villa Road,,SPRINGVALE,VIC,3171,Southern Metro,Residential,98,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9482271,145.1421503," $6,370,112 "
Fronditha Clayton Aged Care,94 Springs Road,,CLAYTON SOUTH,VIC,3169,Southern Metro,Residential,141,,,Fronditha Care,Community Based,Major Cities of Australia,-37.936301,145.108061," $7,390,182 "
Baptcare Amberlea Community,5 Pearson Road,,DROUIN,VIC,3818,Gippsland,Residential,91,,,Baptcare Ltd,Religious,Inner Regional Australia,-38.13869041,145.8534714," $5,763,577 "
Estia Health Werribee,8 Russell Street,,WERRIBEE,VIC,3030,Western Metro,Residential,77,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90839788,144.6649246," $5,441,229 "
BlueCross Chelsea Manor,7-11 Beardsworth Avenue,,CHELSEA,VIC,3196,Southern Metro,Residential,70,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.04918021,145.123058," $4,968,799 "
Opal by the Bay,185 Racecourse Road,,MOUNT MARTHA,VIC,3934,Southern Metro,Residential,140,,,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.25034983,145.0588593," $10,141,653 "
Aurrum Reservoir,1 Aberdeen Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,129,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.70366673,145.0179883," $10,135,312 "
Estia Health Plenty Valley,806 Plenty Road,,SOUTH MORANG,VIC,3752,Northern Metro,Residential,68,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.652707,145.087432," $4,373,536 "
SomerCare,22 Graf Road,,SOMERVILLE,VIC,3912,Southern Metro,Residential,130,,,Somerville Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.225146,145.168229," $9,040,750 "
BlueCross Monterey,858 Pascoe Vale Road,,GLENROY,VIC,3046,Northern Metro,Residential,121,,,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7018096,144.9153493," $6,393,295 "
Regis Dandenong North,5 Bakers Road,,DANDENONG NORTH,VIC,3175,Southern Metro,Residential,171,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.954412,145.196679," $12,648,012 "
Fronditha Thalpori Aged Care Services - St Albans,181 Furlong Road,,ST ALBANS,VIC,3021,Western Metro,Residential,60,,,Fronditha Care,Community Based,Major Cities of Australia,-37.76036474,144.8105657," $4,271,533 "
BlueCross Western Gardens,40 Anderson Road,,SUNSHINE,VIC,3020,Western Metro,Residential,90,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7921242,144.8277317," $6,823,644 "
Kronstadt Gardens,13 Conway Street,,DANDENONG SOUTH,VIC,3175,Southern Metro,Residential,72,,,RusCare Ltd,Religious,Major Cities of Australia,-37.996775,145.202887," $4,301,812 "
Ruckers Hill Aged Care Facility,14-24 Pearl Street,,NORTHCOTE,VIC,3070,Northern Metro,Residential,75,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.778446,144.997644," $5,819,824 "
Craigcare Moonee Ponds,88 Holmes Road,,MOONEE PONDS,VIC,3039,Western Metro,Residential,138,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.76446185,144.9120431," $6,600,316 "
Alpine - Myrtleford MPS,30 O'Donnell Avenue,,MYRTLEFORD,VIC,3737,Hume,Multi-Purpose Service,35,,,Alpine Health,State Government,Inner Regional Australia,-36.55454457,146.7275267," $1,746,553 "
